id,lama hukuman (bulan)
doc_13590,10
doc_14914,60
doc_21900,18
doc_14859,72
doc_10962,60
doc_16546,72
doc_2975,24
doc_10691,96
doc_21781,36
doc_23507,20
doc_11785,48
doc_17958,60
doc_12021,8
doc_5709,51
doc_23281,1
doc_6833,20
doc_4742,24
doc_12712,8
doc_1209,15
doc_10621,66
doc_8089,10
doc_7793,15
doc_20288,10
doc_11639,132
doc_10502,240
doc_4225,96
doc_11776,12
doc_1091,22
doc_3121,72
doc_12930,9
doc_14633,10
doc_22570,24
doc_22529,36
doc_1534,108
doc_14205,6
doc_1412,18
doc_10373,36
doc_23486,12
doc_11178,54
doc_2615,48
doc_6015,18
doc_16316,102
doc_18001,15
doc_2637,18
doc_9053,102
doc_23216,18
doc_2665,12
doc_12607,4
doc_5439,5
doc_5991,18
doc_14031,54
doc_5554,6
doc_8817,240
doc_22878,22
doc_18689,144
doc_9377,96
doc_9116,108
doc_9810,1
doc_14931,20
doc_21837,48
doc_20294,78
doc_12508,75
doc_14702,18
doc_12594,8
doc_7047,4
doc_4897,16
doc_8732,24
doc_18247,8
doc_15828,10
doc_8375,20
doc_15787,180
doc_7111,18
doc_18321,6
doc_16551,33
doc_20857,132
doc_11342,54
doc_8281,18
doc_4207,6
doc_17265,24
doc_11713,48
doc_1768,144
doc_15042,18
doc_11248,34
doc_21120,24
doc_5961,30
doc_8484,60
doc_14817,60
doc_20885,9
doc_14661,12
doc_20290,18
doc_19619,114
doc_5251,18
doc_23229,10
doc_11579,1
doc_14281,60
doc_18552,48
doc_15549,18
doc_18232,18
doc_6789,6
doc_20058,10
doc_13798,48
doc_22641,24
doc_12586,60
doc_6445,96
doc_7659,30
doc_9759,216
doc_1003,66
doc_5158,72
doc_12078,48
doc_22617,65
doc_20673,6
doc_13245,96
doc_12801,30
doc_12383,66
doc_6724,84
doc_21227,60
doc_17808,180
doc_15890,36
doc_14019,108
doc_10889,12
doc_15146,15
doc_22494,120
doc_14993,30
doc_10357,12
doc_13309,72
doc_2147,72
doc_13450,240
doc_20605,30
doc_2663,30
doc_12302,66
doc_12378,15
doc_18581,84
doc_21127,14
doc_9823,27
doc_7030,84
doc_4340,96
doc_3195,60
doc_5934,12
doc_17260,48
doc_2954,72
doc_6363,14
doc_21184,10
doc_16214,84
doc_5450,72
doc_6957,66
doc_2738,1
doc_15225,24
doc_4246,84
doc_2311,4
doc_12539,24
doc_11607,5
doc_14667,12
doc_18307,132
doc_3796,14
doc_23269,72
doc_1281,12
doc_2858,24
doc_4437,36
doc_5107,4
doc_21267,20
doc_20526,16
doc_14701,7
doc_8461,60
doc_8831,36
doc_10441,12
doc_13496,30
doc_8215,15
doc_19635,60
doc_8301,1
doc_19580,3
doc_4626,24
doc_10031,168
doc_223,78
doc_3546,12
doc_20271,18
doc_17611,3
doc_12422,12
doc_2443,15
doc_22754,12
doc_17391,36
doc_3987,16
doc_1973,18
doc_11386,32
doc_1571,6
doc_14333,150
doc_2282,36
doc_6133,72
doc_15794,22
doc_2822,66
doc_2022,70
doc_12246,72
doc_6189,30
doc_12863,48
doc_16197,18
doc_9819,66
doc_14791,120
doc_8687,12
doc_20950,66
doc_6099,12
doc_22070,12
doc_2557,24
doc_7649,6
doc_21482,72
doc_8394,32
doc_19304,66
doc_19479,144
doc_21668,10
doc_3345,6
doc_903,42
doc_10670,60
doc_182,8
doc_17264,240
doc_13401,82
doc_14867,24
doc_8676,4
doc_1854,60
doc_11039,78
doc_9914,12
doc_22896,36
doc_18041,16
doc_15169,16
doc_8770,96
doc_1459,48
doc_2727,16
doc_627,54
doc_13144,30
doc_3967,12
doc_14703,18
doc_7137,96
doc_1927,15
doc_7142,5
doc_4984,8
doc_13366,72
doc_19861,60
doc_10385,1
doc_19587,5
doc_21580,15
doc_14790,78
doc_3657,96
doc_7139,22
doc_6594,10
doc_10043,10
doc_9792,36
doc_13939,8
doc_18278,180
doc_14762,12
doc_678,24
doc_20362,30
doc_9141,72
doc_5092,66
doc_6497,36
doc_19065,36
doc_9845,15
doc_9048,4
doc_23235,12
doc_18246,84
doc_6601,48
doc_12292,88
doc_14718,90
doc_702,12
doc_7015,84
doc_4931,60
doc_10255,30
doc_10884,48
doc_22700,9
doc_11608,6
doc_16673,18
doc_249,12
doc_9346,10
doc_14875,60
doc_20454,48
doc_18400,12
doc_12038,72
doc_4000,96
doc_12170,10
doc_9587,12
doc_18050,8
doc_5035,8
doc_11490,108
doc_18527,4
doc_2087,1
doc_4981,8
doc_16552,12
doc_16176,114
doc_2242,60
doc_19025,36
doc_22583,8
doc_2590,20
doc_23482,48
doc_23307,4
doc_12167,36
doc_5147,24
doc_4528,24
doc_12025,34
doc_6299,60
doc_19574,3
doc_5036,60
doc_19463,6
doc_20465,4
doc_22550,180
doc_20947,8
doc_4255,3
doc_9774,60
doc_21856,10
doc_16788,180
doc_21940,3
doc_9531,10
doc_16294,24
doc_23523,60
doc_9381,60
doc_4230,24
doc_9621,120
doc_23244,84
doc_8618,24
doc_885,15
doc_19945,18
doc_1040,78
doc_2898,42
doc_5567,1
doc_8410,24
doc_22014,12
doc_2446,108
doc_14844,8
doc_21185,24
doc_13562,4
doc_22631,60
doc_19243,18
doc_16612,6
doc_7169,96
doc_10046,5
doc_2096,4
doc_3858,12
doc_21598,48
doc_17666,96
doc_3478,20
doc_5291,18
doc_16278,24
doc_1011,54
doc_7503,60
doc_5364,40
doc_17763,6
doc_20684,48
doc_14546,18
doc_11270,60
doc_6312,72
doc_5315,18
doc_9627,12
doc_21582,84
doc_22766,24
doc_12263,20
doc_13784,48
doc_935,60
doc_10060,3
doc_14728,14
doc_22107,4
doc_7198,108
doc_21683,9
doc_17214,72
doc_1344,6
doc_518,102
doc_360,72
doc_19138,36
doc_9085,72
doc_21749,24
doc_10469,6
doc_960,1
doc_22770,96
doc_1149,18
doc_2955,8
doc_5765,5
doc_2052,16
doc_21004,3
doc_2055,84
doc_10520,14
doc_15219,78
doc_471,16
doc_23533,7
doc_20638,8
doc_17541,12
doc_17361,20
doc_6420,150
doc_17194,90
doc_8241,78
doc_6007,30
doc_1277,54
doc_21164,78
doc_12396,24
doc_10654,84
doc_21765,4
doc_17243,76
doc_14845,78
doc_8828,7
doc_22880,10
doc_21032,3
doc_8795,24
doc_22854,96
doc_18335,18
doc_20657,15
doc_3609,14
doc_11551,84
doc_18539,30
doc_8518,6
doc_7586,18
doc_15222,24
doc_7537,72
doc_177,12
doc_15570,4
doc_23385,18
doc_7276,38
doc_20437,72
doc_10318,12
doc_7651,112
doc_1237,12
doc_6336,5
doc_8058,30
doc_7535,66
doc_13507,10
doc_11812,10
doc_11051,24
doc_18522,24
doc_13708,48
doc_2395,72
doc_19781,16
doc_10883,10
doc_5919,36
doc_17547,22
doc_11396,12
doc_15045,84
doc_10853,1
doc_2437,4
doc_21209,60
doc_16997,14
doc_9051,6
doc_15036,10
doc_3747,5
doc_6254,24
doc_20704,120
doc_10921,7
doc_1328,24
doc_3538,48
doc_6614,22
doc_5736,96
doc_21935,78
doc_17527,48
doc_3277,10
doc_2747,20
doc_13793,7
doc_16144,12
doc_103,60
doc_8224,10
doc_1662,22
doc_13084,8
doc_20356,120
doc_20672,10
doc_14241,72
doc_21132,6
doc_10064,84
doc_21329,18
doc_23043,120
doc_20623,96
doc_1695,30
doc_22980,8
doc_17306,3
doc_16330,4
doc_13899,72
doc_16254,30
doc_20211,8
doc_23402,24
doc_269,6
doc_519,20
doc_7160,120
doc_19854,54
doc_12705,96
doc_6361,10
doc_18069,12
doc_19280,5
doc_17343,42
doc_2359,24
doc_6024,72
doc_13103,20
doc_440,54
doc_16962,18
doc_23070,16
doc_17014,48
doc_938,18
doc_16580,30
doc_17254,12
doc_22679,18
doc_3460,60
doc_20436,12
doc_13652,72
doc_2135,7
doc_4966,18
doc_7101,18
doc_14021,5
doc_23175,4
doc_2775,144
doc_12506,24
doc_13470,54
doc_3120,5
doc_17719,66
doc_17835,12
doc_1211,6
doc_8483,36
doc_11984,10
doc_7684,36
doc_1086,7
doc_23506,30
doc_12529,60
doc_23632,36
doc_6219,24
doc_12855,30
doc_18789,12
doc_9454,9
doc_17037,10
doc_8351,53
doc_15336,96
doc_14402,12
doc_8293,15
doc_3380,84
doc_19654,9
doc_8026,12
doc_5555,12
doc_21587,12
doc_1319,24
doc_1770,84
doc_7668,10
doc_12402,18
doc_10669,60
doc_20413,84
doc_15859,90
doc_7627,48
doc_21946,27
doc_17777,24
doc_3563,8
doc_6660,60
doc_9055,12
doc_131,12
doc_11754,24
doc_3221,24
doc_4881,7
doc_17543,12
doc_4919,5
doc_16293,10
doc_6848,2
doc_18058,3
doc_23350,30
doc_1624,15
doc_18942,18
doc_11287,20
doc_1826,10
doc_8929,16
doc_15192,18
doc_7749,17
doc_17776,1
doc_7457,102
doc_161,2
doc_22427,84
doc_14676,114
doc_4603,60
doc_8162,5
doc_10813,72
doc_7894,9
doc_12707,36
doc_7795,4
doc_2217,60
doc_6330,18
doc_2996,3
doc_3793,10
doc_6626,80
doc_11880,108
doc_12442,72
doc_399,60
doc_18638,14
doc_10012,12
doc_12587,3
doc_11387,60
doc_17618,90
doc_12258,24
doc_10935,28
doc_6714,78
doc_3941,60
doc_13726,108
doc_15293,1
doc_4752,3
doc_148,54
doc_5722,66
doc_6686,48
doc_11765,192
doc_4706,3
doc_17258,60
doc_18282,16
doc_5380,24
doc_3224,84
doc_5944,12
doc_8932,21
doc_17759,6
doc_10286,24
doc_17891,60
doc_450,36
doc_2265,30
doc_19282,6
doc_15920,48
doc_7257,6
doc_20921,12
doc_10995,94
doc_10803,5
doc_16827,24
doc_14715,48
doc_11597,84
doc_536,24
doc_14481,96
doc_22953,24
doc_6607,60
doc_15032,72
doc_14729,30
doc_1837,60
doc_23299,24
doc_367,36
doc_18865,18
doc_12859,6
doc_7560,48
doc_20292,54
doc_23498,72
doc_12910,8
doc_16284,7
doc_1891,66
